frame,events_ms,simulation_ms,render_ms,ui_ms,sim_gpu_ms,collision_gpu_ms,grid_gpu_ms,solver_gpu_ms,particles_n,frame_ms
471,0,31.8765,0,0,4.7748,0.371644,0.78208,0.88192,46344,21.1821
472,0,21.0303,0,0,4.75847,0.374088,0.77714,0.865124,46344,20.7281
473,0,11.1829,0,0,5.64236,0.379652,0.779584,0.885404,46344,27.4954
474,0,15.8984,0,0,5.61902,0.37752,0.781404,0.88166,46344,20.8979
475,0,15.7236,0,0,5.62578,0.376168,0.780156,0.871052,46344,20.7863
476,0,15.7063,0,15.9082,5.77444,0.40482,0.795288,0.892268,46344,20.8292
477,0,15.8743,0,0,4.94863,0.453128,0.811304,0.899964,46344,21.5425
478,0,16.0054,0,0,4.78743,0.376324,0.778492,0.862784,46344,20.4649
479,0,16.0034,15.9739,0,4.79393,0.379444,0.777088,0.864656,46344,20.7958
480,0,15.8926,0,0,5.4731,0.380276,0.773032,0.891852,46344,27.2646
481,0,15.8923,0,0,5.65843,0.384176,0.773136,0.887484,46344,20.9608
482,0,15.9207,0,0,5.77803,0.38662,0.77402,0.884052,46344,21.0047
483,0,15.9221,0,0,5.61673,0.41106,0.787436,0.867516,46344,20.7233
484,0,15.7695,0,0,5.7745,0.398996,1.72526,0.863304,46344,20.8435
485,0,16.0464,0,0,4.79092,0.391456,0.777556,0.864188,46344,20.8502
486,0,19.3994,0,0,4.77594,0.376064,0.776516,0.862056,46344,21.0114
487,0,12.427,0,0,4.77105,0.379496,0.779324,0.86294,46344,20.957
488,0,16.1094,0,0,5.61439,0.371332,0.780208,0.900016,46344,27.2741
489,0,16.1304,0,0,5.63789,0.379964,0.77792,0.886392,46344,21.0009
490,0,31.8206,0,0,5.43754,0.372632,0.782912,0.880776,46344,20.8321
491,0,15.676,0,0,5.46998,0.373412,0.782132,0.87282,46344,20.6022
492,0,24.5852,0,0,5.82332,0.440076,0.80002,0.910624,46344,20.9312
493,0,18.5098,0,0,4.78431,0.373724,0.77532,0.883584,46344,20.9627
494,0,16.1431,0,0,4.77454,0.373984,0.782496,0.862888,46344,20.9522
495,0,28.4146,3.48584,0,5.86305,0.37856,0.780104,0.900432,46344,27.4687
