frame,frame_ms,events_ms,render_ms,mesh_deform_ms,simulation_ms,forces_ms,collision_ms,solver_ms,joints_ms,verts_deformed_n,faces_rendered_n,substeps_n,active_joints_n,broken_joints_n
83,13.9922,0.0248,0.6938,0.0117,20.7495,5.2135,0.9013,9.3154,2.2230,208353,69451,1,4868,116
84,13.0839,0.0324,0.5738,0.0103,20.6214,5.1713,0.9631,9.3133,2.1318,208353,69451,1,4866,118
85,11.7645,0.0324,0.8639,0.0092,25.1383,5.3717,0.8072,9.4191,2.1621,208353,69451,1,4864,120
86,11.3918,0.0278,0.5001,0.0078,23.8672,5.3141,1.0274,9.5768,2.7935,208353,69451,1,4862,122
87,11.6813,0.0284,0.7502,0.0108,23.2051,5.5631,0.9253,9.1606,2.0527,208353,69451,1,4860,124
88,12.0553,0.0327,0.7981,0.0103,22.1759,5.2252,0.9917,9.2243,2.0260,208353,69451,1,4858,126
89,11.3664,0.0306,0.5424,0.0084,22.7352,5.3398,0.8835,9.4473,2.2814,208353,69451,1,4856,128
90,11.6093,0.0297,0.5226,0.0087,22.1186,5.1599,0.9496,9.3395,2.0444,208353,69451,1,4854,130
91,11.8806,0.0334,0.5411,0.0074,22.6350,5.4510,0.8812,9.2435,2.2955,208353,69451,1,4852,132
92,11.9911,0.0403,0.6946,0.0080,21.8533,5.1939,0.8962,9.1862,2.0361,208353,69451,1,4850,134
93,11.9750,0.0358,0.6371,0.0092,23.1123,5.6390,0.9795,9.3138,2.2938,208353,69451,1,4848,136
94,18.7685,0.0383,0.7375,0.0280,22.6476,5.3133,1.0043,9.4259,2.3118,208353,69451,1,4846,138
95,23.6695,0.0242,0.7322,0.0125,24.3667,6.3987,1.0792,9.4583,2.4847,208353,69451,1,4844,140
96,21.7927,0.0226,0.5847,0.0093,21.8880,5.1153,0.8239,9.1515,2.1296,208353,69451,1,4842,142
97,21.6476,0.0247,0.5571,0.0089,21.2188,5.3269,0.8101,9.3281,2.3509,208353,69451,1,4840,144
98,21.9815,0.0240,0.8626,0.0096,23.3181,5.3885,0.9586,9.1577,2.2061,208353,69451,1,4838,146
99,23.1833,0.0228,0.6449,0.0098,25.6997,5.1002,0.8956,9.2302,2.2884,208353,69451,1,4836,148
100,21.9989,0.0227,0.6416,0.0108,27.5006,5.2377,1.1140,9.3766,2.2073,208353,69451,1,4834,150
101,22.1361,0.0231,0.6322,0.0088,24.4220,6.2167,0.8455,9.4269,2.8081,208353,69451,1,4832,152
102,22.1874,0.0244,0.7251,0.0117,26.0899,5.7230,0.9307,9.5963,3.3540,208353,69451,1,4830,154
103,22.3940,0.0255,0.6609,0.0112,22.9804,5.7890,1.3489,9.2134,3.0315,208353,69451,1,4828,156
104,22.1297,0.0247,0.5070,0.0080,21.1668,5.2249,0.8955,9.4282,2.2113,208353,69451,1,4826,158
105,22.3558,0.0230,0.6409,0.0083,22.0794,5.9018,0.9803,9.1846,2.5394,208353,69451,1,4824,160
106,22.4840,0.0221,0.6814,0.0095,21.3489,5.3996,0.9555,9.4203,2.1215,208353,69451,1,4822,162
107,25.5577,0.0228,0.9226,0.0098,22.1886,5.7419,1.0034,9.3964,2.4563,208353,69451,1,4820,164
108,23.8380,0.0243,0.7197,0.0082,21.5914,5.6504,0.9031,9.2458,2.2037,208353,69451,1,4818,166
109,23.6003,0.0209,0.5880,0.0083,21.4065,5.2603,0.8884,9.4254,2.2482,208353,69451,1,4816,168
110,22.7653,0.0271,0.5117,0.0074,22.8796,5.4514,0.8435,9.2080,2.4607,208353,69451,1,4814,170
111,24.4924,0.0220,0.9698,0.0095,21.1019,5.3962,0.8453,9.2339,2.1000,208353,69451,1,4812,172
112,22.8963,0.0314,0.6564,0.0092,21.9701,4.9767,0.8534,9.5244,3.0151,208353,69451,1,4810,174
113,23.3782,0.0227,0.6460,0.0076,21.1223,5.5301,0.8545,9.2737,2.1595,208353,69451,1,4808,176
114,22.6307,0.0232,0.5918,0.0075,24.9981,5.5610,1.0360,9.3397,2.5417,208353,69451,1,4806,178
115,24.5113,0.0471,1.0443,0.0097,21.8586,5.0112,0.9179,9.2916,2.0852,208353,69451,1,4804,180
116,23.4905,0.0234,1.4589,0.0082,22.8496,5.3812,0.8699,9.3024,2.5311,208353,69451,1,4802,182
117,23.2765,0.0215,0.7602,0.0092,22.3563,5.1932,0.9248,9.3902,2.0712,208353,69451,1,4800,184
118,24.3420,0.0232,0.6311,0.0103,24.0492,5.4368,0.8990,9.5743,2.9926,208353,69451,1,4798,186
119,21.5534,0.0235,0.5337,0.0069,24.2055,5.9077,0.9727,9.2296,2.1377,208353,69451,1,4796,188
120,22.7833,0.0225,0.8866,0.0097,22.2823,5.3512,0.7924,9.3186,2.2020,208353,69451,1,4794,190
121,22.5025,0.0225,1.1412,0.0080,23.2526,5.4620,0.9800,9.2715,2.4816,208353,69451,1,4792,192
122,22.2701,0.0242,0.5192,0.0071,22.1774,5.3923,0.8670,9.3172,2.0912,208353,69451,1,4790,194
123,22.3048,0.0208,1.0450,0.0100,22.5238,5.2402,0.7982,9.3682,2.3100,208353,69451,1,4788,196
124,22.3075,0.0342,1.0310,0.0121,22.2583,5.2693,0.8022,9.3429,2.1910,208353,69451,1,4786,198
234,26.7636,0.0363,0.5776,0.0087,,,,,,208353,69451,,,
235,1.6405,0.4532,0.9087,0.0094,,,,,,208353,69451,,,
236,0.7321,0.0803,0.4578,0.0096,,,,,,208353,69451,,,
237,1.0250,0.0446,0.6599,0.0126,,,,,,208353,69451,,,
238,1.1058,0.0343,0.8379,0.0114,,,,,,208353,69451,,,
239,1.1788,0.0248,0.9670,0.0108,,,,,,208353,69451,,,
240,1.1958,0.0236,0.9875,0.0081,,,,,,208353,69451,,,
241,1.1901,0.0194,1.0039,0.0081,,,,,,208353,69451,,,
242,1.2511,0.0241,1.0339,0.0094,,,,,,208353,69451,,,
243,1.7163,0.0340,1.3803,0.0235,,,,,,208353,69451,,,
244,0.8953,0.0295,0.6563,0.0268,,,,,,208353,69451,,,
245,1.0811,0.2631,0.6124,0.0108,,,,,,208353,69451,,,
246,1.5567,0.0894,1.1430,0.0222,,,,,,208353,69451,,,
TOTAL,4142.4020,105.7410,262.5274,3.5655,3701.9952,776.5531,263.8517,1593.3579,338.3802,67923078,22641026,167,812306,20022
