frame,frame_ms,events_ms,render_ms,mesh_deform_ms,simulation_ms,forces_ms,collision_ms,solver_ms,joints_ms,verts_deformed_n,faces_rendered_n,substeps_n,active_joints_n,broken_joints_n
73,0.8667,0.0315,0.6049,0.0122,58.4604,1.4491,3.2528,39.1051,9.3926,18960,6320,4,3115,288
74,1.1560,0.0323,0.9040,0.0135,60.9339,1.4692,3.8701,39.8516,10.4912,18960,6320,4,3107,296
75,1.1380,0.0345,0.8629,0.0143,57.1858,1.3377,3.1009,39.3831,9.6130,18960,6320,4,3099,304
76,1.1832,0.0334,0.9088,0.0101,57.2329,1.3084,3.2231,39.2152,9.7648,18960,6320,4,3091,312
77,1.4998,0.0467,1.2282,0.0217,59.2962,1.4605,3.5941,39.5391,10.8499,18960,6320,4,3083,320
78,1.2697,0.0384,1.0034,0.0114,57.8972,1.2656,3.3893,39.3313,10.1292,18960,6320,4,3075,328
79,0.8848,0.0353,0.6115,0.0111,57.7491,1.2261,3.2031,39.4455,10.1563,18960,6320,4,3067,336
80,1.1861,0.0439,0.8614,0.0141,57.1193,1.2480,3.2139,39.1935,9.8310,18960,6320,4,3059,344
81,2.0076,0.0396,1.6097,0.0191,64.8790,2.3681,4.7881,39.9998,13.5524,18960,6320,4,3051,352
82,0.7064,0.0179,0.5302,0.0076,58.3101,1.3151,3.4593,39.3200,10.3144,18960,6320,4,3043,360
83,0.6371,0.0195,0.4572,0.0073,58.6119,1.4455,3.7733,39.3328,10.0890,18960,6320,4,3035,368
84,1.7097,0.0179,1.4701,0.0267,58.6825,1.4279,3.4715,39.4347,10.5949,18960,6320,4,3027,376
85,0.8539,0.0232,0.6144,0.0100,58.6682,1.2660,3.1115,39.5517,10.8349,18960,6320,4,3019,384
86,1.1650,0.0231,0.8664,0.0114,60.1981,1.2358,3.4220,39.9003,11.8377,18960,6320,4,3011,392
87,0.6815,0.0455,0.4538,0.0080,59.1668,1.2064,3.0506,39.3444,10.7481,18960,6320,4,3003,400
88,2.2626,0.0425,1.8040,0.0270,60.9758,1.5973,3.4855,39.3986,11.6059,18960,6320,4,2995,408
89,2.7626,0.0644,2.1790,0.0330,59.7043,1.2988,3.3178,39.3380,11.0134,18960,6320,4,2987,416
90,2.4499,0.0547,1.8966,0.0277,60.4534,1.3590,3.4737,39.6383,11.1866,18960,6320,4,2979,424
91,2.0365,0.0409,1.6219,0.0200,61.7960,1.4430,3.3446,39.5825,10.9845,18960,6320,4,2971,432
92,2.5030,0.0422,2.0416,0.0217,61.4590,1.2783,3.1116,39.5298,12.6122,18960,6320,4,2963,440
93,3.0480,0.0640,2.4911,0.0245,62.0901,1.6486,3.6668,39.9797,11.5348,18960,6320,4,2955,448
94,2.6723,0.0425,2.1728,0.0217,60.8647,1.4676,3.5063,39.7491,11.4163,18960,6320,4,2947,456
95,2.9710,0.0614,2.3974,0.0245,60.4697,1.3781,3.4090,39.2326,11.4753,18960,6320,4,2939,464
96,2.5199,0.0521,2.0926,0.0212,59.2791,1.3574,3.4673,39.3833,11.8156,18960,6320,4,2931,472
97,2.4942,0.0531,1.9776,0.0210,60.3066,1.3611,3.3686,39.9067,12.2978,18960,6320,4,2923,480
98,2.9062,0.0472,2.3741,0.0337,59.9920,1.4473,3.6137,39.5515,12.0624,18960,6320,4,2915,488
99,2.1903,0.0518,1.7355,0.0200,59.3634,1.5277,3.4672,39.3397,11.6292,18960,6320,4,2907,496
100,198.0802,1.9510,1.0177,0.0079,60.8063,1.4193,3.7639,39.7894,12.5155,18960,6320,4,2899,504
101,54.7010,0.5104,0.4557,0.0062,59.2794,1.2456,3.7236,39.4877,11.4841,18960,6320,4,2891,512
102,53.9031,0.0857,0.7344,0.0104,60.1913,1.3671,3.4446,39.7006,12.4586,18960,6320,4,2883,520
103,49.4926,0.0227,0.5979,0.0100,60.1740,1.2914,3.1048,39.7595,12.5845,18960,6320,4,2875,528
104,43.1854,0.0240,0.8048,0.0075,60.1094,1.2710,3.5959,39.6803,12.2651,18960,6320,4,2867,536
105,44.1735,0.0219,0.9354,0.0069,59.8752,1.1094,3.0888,39.6017,12.5575,18960,6320,4,2859,544
106,44.1808,0.0366,0.8836,0.0083,59.7097,1.2782,3.6872,39.3608,12.2307,18960,6320,4,2851,552
107,42.8484,0.0254,0.4891,0.0086,58.9693,1.2257,3.2521,39.4382,12.0463,18960,6320,4,2843,560
108,43.0931,0.0185,1.0132,0.0074,61.9261,1.5898,3.6313,39.7395,12.6340,18960,6320,4,2835,568
109,44.1348,0.0215,0.7867,0.0087,63.2767,1.5823,3.4732,39.8478,13.7236,18960,6320,4,2827,576
110,45.1908,0.0199,1.2141,0.0092,61.0829,1.3513,3.2379,39.4504,12.5764,18960,6320,4,2819,584
111,45.2057,0.0227,0.9013,0.0095,62.3374,1.8016,3.3685,39.8230,14.2366,18960,6320,4,2811,592
112,44.2052,0.0230,0.6039,0.0080,60.2301,1.4589,3.4475,39.4242,12.9616,18960,6320,4,2803,600
113,44.3035,0.0237,0.7279,0.0096,59.6029,1.5564,3.5313,39.0487,12.5951,18960,6320,4,2795,608
114,44.6891,0.0216,1.0832,0.0077,60.0753,1.5300,3.5203,39.2617,12.9641,18960,6320,4,2787,616
115,45.1518,0.0449,1.0358,0.0105,60.3799,1.2933,3.1302,39.2025,13.9000,18960,6320,4,2779,624
116,43.7513,0.0229,0.5182,0.0074,61.0559,1.4898,3.6544,39.3311,13.6685,18960,6320,4,2771,632
117,43.7194,0.0209,0.8022,0.0100,59.4522,1.2390,3.3572,39.1551,12.9063,18960,6320,4,2763,640
118,44.3500,0.0251,0.7561,0.0079,59.1717,1.3420,3.0998,38.8140,13.0949,18960,6320,4,2755,648
119,43.7690,0.0242,0.5334,0.0073,59.2563,1.3660,3.4691,38.8988,12.7009,18960,6320,4,2747,656
120,43.8384,0.0240,0.9657,0.0089,60.3619,1.2398,3.3177,39.0322,13.2218,18960,6320,4,2739,664
121,43.9377,0.0248,0.6167,0.0286,60.7249,1.3313,3.4024,39.3443,13.6708,18960,6320,4,2731,672
122,44.0359,0.0227,0.9742,0.0086,59.7571,1.2306,3.0884,38.7837,13.7338,18960,6320,4,2723,680
123,43.7887,0.0231,0.6185,0.0177,60.3743,1.3580,3.4811,39.0622,13.8824,18960,6320,4,2715,688
124,44.4013,0.0284,1.2173,0.0081,60.4457,1.3697,3.3068,39.0251,13.8417,18960,6320,4,2707,696
125,44.1272,0.0483,0.4832,0.0064,69.2486,1.7377,3.6131,39.7765,19.4775,18960,6320,4,2699,704
126,43.5302,0.0233,0.7231,0.0089,61.9676,1.3812,3.4203,39.1425,15.1216,18960,6320,4,2691,712
127,44.8051,0.0223,0.9767,0.0082,62.9121,1.6253,4.0388,39.4675,14.8479,18960,6320,4,2683,720
128,43.9891,0.0364,0.4885,0.0076,61.4009,1.4069,3.2143,38.9776,15.1464,18960,6320,4,2675,728
129,43.9558,0.0200,0.6255,0.0082,61.3161,1.4335,3.7550,38.9534,14.4776,18960,6320,4,2667,736
130,43.7446,0.0215,0.4771,0.0064,63.5226,1.3386,3.4667,39.0281,14.0248,18960,6320,4,2659,744
131,43.1630,0.0200,0.9706,0.0100,63.2685,1.3352,3.3682,38.9264,14.5155,18960,6320,4,2651,752
132,44.1338,0.0216,0.7817,0.0230,63.6983,1.4238,3.6097,38.8262,14.8275,18960,6320,4,2643,760
133,44.0957,0.0200,0.7448,0.0074,63.4883,1.7828,3.5650,38.7372,15.0990,18960,6320,4,2635,768
134,42.9722,0.0357,0.5446,0.0078,60.4038,1.4063,3.1277,38.3246,13.3089,18960,6320,4,2627,776
135,42.6057,0.0221,0.4730,0.0092,63.0831,1.8867,3.4388,38.1920,15.6017,18960,6320,4,2619,784
136,43.8713,0.0187,1.2124,0.0195,62.0836,1.4391,3.2089,38.0386,15.3974,18960,6320,4,2611,792
137,43.9379,0.0353,0.7187,0.0073,61.5606,1.3549,3.1561,37.7821,15.3099,18960,6320,4,2603,800
138,56.5396,0.0186,0.9944,0.0158,61.2357,1.4048,3.1953,37.7296,14.9089,18960,6320,4,2595,808
139,56.0193,0.0288,0.5586,0.0087,60.6664,1.2016,3.1286,37.6907,14.6717,18960,6320,4,2587,816
140,56.1019,0.0208,0.8657,0.0082,61.7997,1.3363,3.1808,37.8337,15.1145,18960,6320,4,2579,824
141,59.2545,0.0234,0.9300,0.0187,63.5608,1.3192,3.3407,38.3753,15.9350,18960,6320,4,2571,832
142,57.1553,0.0238,0.8052,0.0096,,,,,,18960,6320,,,
143,57.6539,0.0379,0.9825,0.0210,,,,,,18960,6320,,,
144,56.2910,0.0254,0.6414,0.0078,,,,,,18960,6320,,,
145,59.1342,0.0209,0.9204,0.0106,,,,,,18960,6320,,,
146,55.8815,0.0428,0.7273,0.0094,,,,,,18960,6320,,,
147,57.7105,0.0224,0.8270,0.0111,,,,,,18960,6320,,,
148,56.3705,0.0240,0.9863,0.0091,,,,,,18960,6320,,,
149,60.4340,0.5966,2.6623,0.0000,,,,,,0,0,,,
150,60.2030,0.3057,2.1345,0.0000,,,,,,0,0,,,
151,59.0335,0.0256,1.7826,0.0000,,,,,,0,0,,,
152,59.9623,0.6864,2.0743,0.0000,,,,,,0,0,,,
153,58.6079,0.0902,2.0122,0.0000,,,,,,0,0,,,
154,56.5694,0.0341,1.7634,0.0000,,,,,,0,0,,,
155,57.1683,0.0237,1.9645,0.0000,,,,,,0,0,,,
156,58.0084,0.0271,1.7306,0.0000,,,,,,0,0,,,
157,62.4841,0.0234,3.4434,0.0000,,,,,,0,0,,,
158,59.3769,0.0275,1.8735,0.0000,,,,,,0,0,,,
159,59.5557,0.0299,1.7402,0.0000,,,,,,0,0,,,
160,60.0356,0.0260,2.1880,0.0000,,,,,,0,0,,,
161,59.8959,0.0256,1.7445,0.0000,,,,,,0,0,,,
162,59.2856,0.0308,1.9191,0.0000,,,,,,0,0,,,
163,58.9086,0.0220,1.6630,0.0000,,,,,,0,0,,,
164,56.5630,0.0367,1.8951,0.0000,,,,,,0,0,,,
165,64.1028,0.0275,2.0420,0.0000,,,,,,0,0,,,
166,58.9591,0.0436,1.7600,0.0000,,,,,,0,0,,,
167,59.7717,0.0229,2.0440,0.0000,,,,,,0,0,,,
168,59.4706,0.0243,1.8098,0.0000,,,,,,0,0,,,
169,61.2303,0.0211,2.4376,0.0000,,,,,,0,0,,,
170,60.4690,0.0250,2.3391,0.0000,,,,,,0,0,,,
171,60.6002,0.0417,1.7247,0.0000,,,,,,0,0,,,
172,61.9251,0.0384,2.1191,0.0000,,,,,,0,0,,,
173,60.5729,0.0235,1.8666,0.0000,,,,,,0,0,,,
174,63.0952,0.0241,1.9406,0.0000,,,,,,0,0,,,
175,59.5335,0.0295,2.1245,0.0000,,,,,,0,0,,,
176,59.2363,0.0263,1.7762,0.0000,,,,,,0,0,,,
177,61.5563,0.0291,2.0289,0.0000,,,,,,0,0,,,
178,59.9888,0.0306,1.8752,0.0000,,,,,,0,0,,,
179,59.9130,0.0325,1.9307,0.0000,,,,,,0,0,,,
180,60.8386,0.0230,3.4791,0.0000,,,,,,0,0,,,
181,67.0724,0.0455,1.8997,0.0000,,,,,,0,0,,,
182,60.4104,0.0231,1.8889,0.0000,,,,,,0,0,,,
183,60.5348,0.0274,1.7085,0.0000,,,,,,0,0,,,
184,60.8052,0.0228,1.8906,0.0000,,,,,,0,0,,,
185,60.7028,1.0722,0.7517,0.0088,,,,,,18960,6320,,,
186,61.3860,0.0803,0.9199,0.0092,,,,,,18960,6320,,,
187,60.9922,0.6751,0.9441,0.0194,,,,,,18960,6320,,,
188,62.1823,0.0985,0.8928,0.0086,,,,,,18960,6320,,,
189,60.7339,0.0328,0.7844,0.0121,,,,,,18960,6320,,,
190,61.5726,0.0258,0.8751,0.0105,,,,,,18960,6320,,,
191,62.6793,0.0434,0.6133,0.0093,,,,,,18960,6320,,,
192,62.4294,0.0249,0.7307,0.0091,,,,,,18960,6320,,,
193,63.3093,0.0239,0.9720,0.0130,,,,,,18960,6320,,,
194,61.9573,0.0260,0.8653,0.0108,,,,,,18960,6320,,,
195,61.5577,0.0234,0.8479,0.0111,,,,,,18960,6320,,,
196,60.2393,0.0242,0.7243,0.0095,,,,,,18960,6320,,,
197,61.2419,0.0246,0.7134,0.0080,,,,,,18960,6320,,,
198,61.0790,0.0230,0.8791,0.0084,,,,,,18960,6320,,,
199,60.3012,0.0209,0.6994,0.0084,,,,,,18960,6320,,,
200,61.9491,0.0238,0.9139,0.0200,,,,,,18960,6320,,,
201,60.2103,0.0250,0.6462,0.0097,,,,,,18960,6320,,,
202,60.9564,0.0260,0.5608,0.0077,,,,,,18960,6320,,,
203,63.5296,0.5477,2.6137,0.0000,,,,,,0,0,,,
204,62.1575,0.0736,1.7832,0.0000,,,,,,0,0,,,
205,62.1688,0.0205,2.0634,0.0000,,,,,,0,0,,,
206,62.3090,0.3831,2.0308,0.0000,,,,,,0,0,,,
207,61.0343,0.0676,1.8072,0.0000,,,,,,0,0,,,
