frame,events_ms,simulation_ms,render_ms,ui_ms,sim_gpu_ms,collision_gpu_ms,grid_gpu_ms,solver_gpu_ms,particles_n,frame_ms
269,0,0,0,0,0,0,0,0,32488,6.91152
270,0,0,0,0,0,0,0,0,32488,6.86049
271,0,0,0,0,0,0,0,0,32488,6.96635
272,0,0,0,0,0,0,0,0,32488,6.90532
273,0,0,0,0,0,0,0,0,32488,7.24959
274,0,0,0,0,0,0,0,0,32488,6.7842
275,0,0,0,0,0,0,0,0,32488,7.09176
276,0,0,0,0,0,0,0,0,32488,6.84571
277,0,0,0,0,0,0,0,0,32488,6.95491
278,0,0,0,0,0,0,0,0,32488,6.81615
279,0,0,0,0,0,0,0,0,32488,6.92177
280,0,0,0,0,0,0,0,0,32488,7.11656
281,0,0,0,0,0,0,0,0,32488,6.93154
282,0,0,0,0,0,0,0,0,32488,6.86526
283,0,0,0,0,0,0,0,0,32488,6.9387
284,0,0,0,15.6545,0,0,0,0,32488,6.97803
285,0,0,0,0,0,0,0,0,32488,6.99711
286,0,0,0,0,0,0,0,0,32488,6.89578
287,0,0,0,0,0,0,0,0,32488,7.88069
288,0,0,0,0,0,0,0,0,32488,5.73826
289,0,0,0,0,0,0,0,0,32488,7.34472
290,0,0,0,0,0,0,0,0,32488,6.90985
291,0,0,0,0,0,0,0,0,32488,7.01022
292,0,0,0,0,0,0,0,0,32488,6.78682
293,0,0,0,0,0,0,0,0,32488,7.02238
294,0,0,0,0,0,0,0,0,32488,6.9139
295,0,0,0,0,0,0,0,0,32488,6.95205
296,0,0,0,0,0,0,0,0,32488,6.92511
297,0,0,0,0,0,0,0,0,32488,6.93226
298,0,0,0,0,0,0,0,0,32488,6.88744
299,0,0,0,0,0,0,0,0,32488,6.93059
300,15.9763,0,0,0,0,0,0,0,32488,6.91104
301,0,0,0,0,0,0,0,0,32488,7.0982
302,0,0,0,0,0,0,0,0,32488,6.93417
303,0,0,0,0,0,0,0,0,32488,6.98948
304,0,0,0,0,0,0,0,0,32488,6.95157
305,0,0,0,0,0,0,0,0,32488,6.88553
306,0,0,0,0,0,0,0,0,32488,6.92415
307,0,0,0,0,0,0,0,0,32488,7.11775
308,0,0,0,0,0,0,0,0,32488,6.69098
309,0,0,0,0,0,0,0,0,32488,6.94466
310,0,0,0,0,0,0,0,0,32488,7.08437
311,0,0,0,0,0,0,0,0,32488,6.80923
312,0,0,0,0,0,0,0,0,32488,6.95038
313,0,0,0,0,0,0,0,0,32488,6.96874
314,0,0,0,0,0,0,0,0,32488,6.93202
315,0,0,0,0,0,0,0,0,32488,6.86479
316,0,0,15.657,0,0,0,0,0,32488,6.94227
